City_ID,City_ID,city,country,latitude,longitude,Maximum_temperature,percent_humidity,percent_cloudiness,wind_speed,description
239,239,Malinovoye Ozero,RU,51.6753,79.7825,23.04,30,100,2.41,overcast clouds
242,242,Al Bardīyah,LY,31.7561,25.0865,25.35,74,0,4.73,clear sky
244,244,Biltine,TD,14.5333,20.9167,26.35,66,99,3.8,overcast clouds
247,247,Adrar,MR,20.5022,-10.0711,30.13,34,94,6.93,overcast clouds
249,249,Yārāda,IN,17.65,83.2667,29.18,79,90,4.63,mist
250,250,Tirumullaivāsal,IN,11.2333,79.8333,30.74,55,100,3.12,overcast clouds
254,254,Riyadh,SA,24.6877,46.7219,31.08,14,100,3.92,overcast clouds
258,258,Keti Bandar,PK,24.1447,67.4497,29.1,78,100,10.79,overcast clouds
260,260,Praia,CV,14.9215,-23.5087,24.3,69,75,4.12,broken clouds
262,262,Bayeux,BR,-7.125,-34.9322,23.35,88,40,2.06,scattered clouds
265,265,Hambantota,LK,6.1241,81.1185,30.19,74,20,5.14,few clouds
266,266,Sakakah,SA,29.9697,40.2064,26.76,35,0,4.57,clear sky
268,268,Roura,GF,4.7263,-52.3274,24.42,100,0,0.0,clear sky
270,270,Yavatmal,IN,20.4,78.1333,24.68,78,100,5.58,overcast clouds
271,271,Nurota,UZ,40.5614,65.6886,27.05,13,0,5.44,clear sky
275,275,Vieques,PR,18.425,-65.8329,27.17,89,40,3.09,scattered clouds
281,281,Tiruchchendur,IN,8.4833,78.1167,30.16,57,100,4.45,overcast clouds
286,286,Bānapur,IN,19.7833,85.1833,25.99,88,100,4.54,light rain
290,290,Boysun,UZ,38.2061,67.1986,29.01,21,0,2.18,clear sky
292,292,Bulancak,TR,40.9372,38.2291,24.9,65,40,3.6,scattered clouds
294,294,Marsh Harbour,BS,26.5412,-77.0636,28.67,73,81,4.63,broken clouds
295,295,Gaza,PS,31.5,34.4667,25.99,75,0,2.25,clear sky
296,296,Porbandar,IN,21.6422,69.6093,27.99,83,90,7.2,drizzle
297,297,Bud,US,39.447,-86.1758,25.97,87,76,2.18,broken clouds
299,299,Ţahţā,EG,26.7693,31.5021,27.18,36,4,3.8,clear sky
302,302,Cedartown,US,34.0537,-85.255,27.4,92,15,0.92,few clouds
311,311,Gouyave,GD,12.1646,-61.7296,25.43,89,75,7.2,broken clouds
312,312,Mogadishu,SO,2.0371,45.3438,24.58,84,100,7.28,light rain
313,313,Marzuq,YE,14.4,46.4667,23.64,73,100,4.08,overcast clouds
315,315,Umluj,SA,25.0213,37.2685,29.98,71,46,2.01,scattered clouds
316,316,Havelock,US,34.8791,-76.9013,26.97,92,10,2.59,clear sky
320,320,Tierralta,CO,8.1736,-76.0592,24.31,94,93,1.79,overcast clouds
321,321,Karlovasi,GR,37.7903,26.7044,28.61,58,0,4.86,clear sky
324,324,Carutapera,BR,-1.195,-46.02,24.24,87,6,1.97,clear sky
330,330,Manadhoo,MV,5.7667,73.3833,28.15,74,100,6.04,overcast clouds
332,332,Dakar,SN,14.6937,-17.4441,27.07,74,20,2.06,few clouds
333,333,Zhob,PK,31.3411,69.4481,28.09,60,5,0.43,clear sky
338,338,Melfi,IT,40.9965,15.6514,26.79,36,0,3.21,clear sky
342,342,Nouakchott,MR,18.0858,-15.9785,23.42,84,96,6.25,overcast clouds
345,345,Filiatrá,GR,37.15,21.5833,27.05,48,0,2.46,clear sky
349,349,Jablah,SY,35.3614,35.9256,24.16,50,0,1.54,clear sky
352,352,Pueblo Bello,CO,8.2041,-76.526,23.54,97,94,0.13,overcast clouds
353,353,Bandarbeyla,SO,9.4942,50.8122,27.16,61,89,11.25,overcast clouds
354,354,Agadez,NE,19.75,10.25,29.71,35,52,1.52,broken clouds
360,360,Moroni,KM,-11.7022,43.2551,23.18,75,3,7.05,light rain
361,361,Puri,IN,19.8,85.85,27.99,89,100,9.2,overcast clouds
368,368,Tessalit,ML,20.1986,1.0114,31.87,37,41,2.62,scattered clouds
370,370,Jalu,LY,29.0331,21.5482,25.85,47,0,3.55,clear sky
372,372,Kilindoni,TZ,-7.9139,39.6668,24.47,75,25,7.31,scattered clouds
374,374,Natal,BR,-5.795,-35.2094,24.12,94,20,1.54,few clouds
378,378,Bhūm,IN,18.4667,75.6667,25.16,72,100,8.9,overcast clouds
381,381,Dumra,IN,26.5667,85.5167,29.22,77,100,3.6,overcast clouds
382,382,Diffa,NE,13.3154,12.6113,23.33,85,93,2.86,overcast clouds
390,390,San Francisco,US,37.7749,-122.4194,25.68,85,75,1.34,broken clouds
398,398,Effingham County,US,32.3669,-81.3332,26.58,94,85,1.51,overcast clouds
399,399,Kutum,SD,14.2,24.6667,24.0,70,99,1.47,overcast clouds
407,407,Chipiona,ES,36.7366,-6.437,25.12,73,0,5.14,clear sky
410,410,Manatí,PR,18.4275,-66.4921,26.93,89,2,3.46,clear sky
411,411,Mumbai,IN,19.0144,72.8479,28.99,84,90,3.6,haze
416,416,Aswān,EG,24.0934,32.907,29.61,17,0,3.09,clear sky
419,419,Kānt,IN,27.8,79.8,30.76,70,100,1.57,overcast clouds
420,420,San Clemente,US,33.427,-117.612,29.25,74,0,0.45,clear sky
421,421,Tefé,BR,-3.3542,-64.7114,24.38,68,42,0.88,scattered clouds
423,423,Loíza,PR,18.4313,-65.8802,27.15,86,40,3.09,scattered clouds
424,424,Chardara,KZ,41.2547,67.9692,29.6,23,0,2.46,clear sky
428,428,Murgab,TM,37.4966,61.9714,23.93,38,0,2.06,clear sky
429,429,Sabla,NG,12.7525,4.7077,23.97,86,95,3.84,overcast clouds
431,431,Vila do Maio,CV,15.1333,-23.2167,24.44,72,99,3.92,overcast clouds
433,433,Salgado de São Félix,BR,-7.3569,-35.4406,23.8,96,5,1.89,clear sky
436,436,Marabba,SD,12.35,32.1833,24.0,85,89,5.2,overcast clouds
440,440,Ubari,LY,26.5921,12.7805,25.55,28,0,3.16,clear sky
441,441,Saýat,TM,38.7839,63.8803,28.93,10,0,8.05,clear sky
444,444,Kismayo,SO,-0.3582,42.5454,24.62,78,57,7.67,broken clouds
445,445,Kaka,TM,37.3482,59.6143,30.11,44,0,10.3,clear sky
